;TAL;MATRIX LEDCONVERTERS v10.8.2 (2025);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TOESTEL;TOESTEL;TOESTEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260mA;930604;POWERLED CONVERTER REMOTE 260mA 20W IP20 MAINS DIM LC;dimlist T;YES;INDOOR;MAINS DIM LC;YES;120*45*28;85%;20;2;220 - 240;38 - 77;;;;;;;;;;3-4;2;1;12-24;4-7;3-4;3-4;3-4;1;2;2;2;2;4-6;4-6;2;5-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250mA;930607;POWERLED CONVERTER REMOTE 250mA 10W IP20 CASAMBI;;YES;INDOOR;CASAMBI;YES;200*43*30;82%;20;2;198 - 264;15 - 40;;;;;;;;;;1-2;1;;5-12;2-3;1-2;1-2;1-2;1;1;1;1;1;2-3;2-3;1;2-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350mA;930512;POWERLED CONVERTER 350mA 4W IP65 MAINS DIM RC;dimlist H;NO;IN&OUTDOOR;MAINS DIM RC;YES;38*27*21;72%;65;2;220 - 240;6 - 12;;;;;;;;;;;;;2-3;1;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350mA;930591;POWERLED CONVERTER REMOTE 350mA 6W IP20 1-10V;;YES;INDOOR;1-10V;NO;67*57*22;76%;20;2;198 - 264;2 - 18;;;;;;;;;;;;;1-5;1;;1;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350mA;930573;POWERLED CONVERTER 350mA 8W IP54;;NO;IN&OUTDOOR;NOT DIMMABLE;;54*32*21;78%;54;2;90 - 264;2 - 25;;;;;;;;;;;;;1-7;1-2;1;1;;;;;;;1-2;1-2;;1-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350mA;930541;POWERLED CONVERTER 350mA 9W IP20;;NO;INDOOR;NOT DIMMABLE;;65*30,7*21,5;78%;20;2;220 - 240;3 - 25;;;;;;;;;;;;;1-7;1-2;1;1;;;;;;;1-2;1-2;;1-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350mA;930595;POWERLED CONVERTER 350mA 12W IP65 MAINS DIM LC;dimlist G;NO;IN&OUTDOOR;MAINS DIM LC;YES;dia56*25;82%;65;2;220 - 240;18 - 35;;;;;;;;;;;;;6-10;2-3;1;1;2;;1;;;;2-3;2-3;;2-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350mA;930561;TEV_POWERLED CONVERTER REMOTE 350/700mA 12W IP20 MAINS DIM RC;dimlist F;YES;INDOOR;MAINS DIM C;NO;99*39*23;70%;20;2;230 - 240;3 - 32;;;;;;;;;;;;;1-9;1-2;1;1;;;;;;;1-2;1-2;;1-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350mA;930562;POWERLED CONVERTER REMOTE 350mA 13,5W IP20 MAINS DIM LC 10%;dimlist R;YES;INDOOR;MAINS DIM LC 10%;YES;109*53*25;84%;20;2;198 - 264;18 - 38;;;;;;;;;;;;;6-11;2-3;2;2;2;;1;1;1;1;2-3;2-3;1;2-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350mA;930560;POWERLED CONVERTER REMOTE 350mA 15W IP20 1-10V;;YES;INDOOR;1-10V;YES;110*52*23,5;88%;20;2;220 - 240;6 - 42;;;;;;;;;;;;;2-13;1-3;1-2;1-2;1-2;1;1;1;1;1;1-3;1-3;1;1-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350mA;930581;POWERLED CONVERTER REMOTE 350mA 15W IP20 DALI/TOUCHDIM;;YES;INDOOR;DALI/TOUCHDIM;YES;119*53*30;88%;20;2;198 - 264;9 - 51;;;;;;;;;;;;;3-15;1-4;1-2;1-2;1-2;1;1;1;1;1;1-4;1-4;1;1-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350mA;930511;POWERLED CONVERTER REMOTE 350mA 18W IP20 MAINS DIM LC;dimlist A;YES;INDOOR;MAINS DIM LC 10%;YES;119*53*30;84%;20;2;198 - 264;27 - 54;;;;;;;;;;;;;9-16;3-4;2;2-3;2-3;1;1;1;1;1;3-4;3-4;1;3-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350mA;930622;POWERLED CONVERTER REMOTE 350mA 18W MAINS DIM LC;dimlist AC;YES;INDOOR;MAINS DIM LC;YES;95*50*22;82%;20;2;198 - 264;27 - 40;;;;;;;;;;;;;9-12;3;2;2;2;1;1;1;1;1;3;3;1;3-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350mA;930623;POWERLED CONVERTER REMOTE 350mA 18W IP20 DALI/TOUCHDIM;;YES;INDOOR;DALI/TOUCHDIM;YES;160*42*30;85%;20;2;220 - 240;9 - 52;;;;;;;;;;;;;3-15;1-4;1-2;1-2;1-2;1;1;1;1;1;1-4;1-4;1;1-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350mA;930537;POWERLED CONVERTER 350mA 26W IP66;;NO;IN&OUTDOOR;NOT DIMMABLE;;80*78*28;86%;66;2;100 - 240;38 - 75;;;;;;;;;;;;;12-23;4-6;3-4;3-4;;1;;2;;2;4-6;4-6;2;4-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350mA;930536;POWERLED CONVERTER 350mA 26W IP66 1-10V;;NO;IN&OUTDOOR;1-10V;NO;80*78*28;86%;66;2;100 - 240 ;38 - 75;;;;;;;;;;;;;12-23;4-6;3-4;3-4;;1;;2;;2;4-6;4-6;2;4-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
